Predator_name,Prey_name
Maxilliphimedia longipes,Hydrozoa
Gnathiphimedia mandibularis,Bryozoa
Gnathiphimedia mandibularis,Brachiopoda
Gnathiphimedia mandibularis,Porifera
Echiniphimedia hodgsoni,Porifera
Echiniphimedia hodgsoni,Detritus
Iphimediella cyclogena,Holothuria
Iphimediella cyclogena,Polychaeta
Paraceradocus gibber,Amphipoda
Paraceradocus gibber,Bacillariophyta
Paraceradocus gibber,Detritus
Liljeborgia georgiana,Crustacea
Liljeborgia georgiana,Amphipoda
Liljeborgia georgiana,Euphausiacea
Liljeborgia georgiana,Copepoda
Liljeborgia georgiana,Polychaeta
Liljeborgia georgiana,Eucranta mollis
Liljeborgia georgiana,Eunoe spica
Liljeborgia georgiana,Cnidaria
Liljeborgia georgiana,Porifera
Momoculodes scabriculosus,Detritus
Uristes gigas,Crustacea
Uristes gigas,Amphipoda
Uristes gigas,Euphausiacea
Uristes gigas,Porifera
Uristes gigas,Bacillariophyta
Eurythenes gryllus,Amphipoda
Eurythenes gryllus,Eurythenes gryllus
Eurythenes gryllus,Ophiuroidea
Eurythenes gryllus,Hydrozoa
Eurythenes gryllus,Urticinopsis antarctica
Eurythenes gryllus,Anthozoa
Eurythenes gryllus,Porifera
Eurythenes gryllus,Polychaeta
Eurythenes gryllus,Holothuria
Eurythenes gryllus,Isopoda
Eurythenes gryllus,Crustacea
Eurythenes gryllus,Detritus
Bathypanoploea schellenbergi,Urticinopsis antarctica
Bathypanoploea schellenbergi,Anthozoa
Bathypanoploea schellenbergi,Bacillariophyta
Bathypanoploea schellenbergi,Crustacea
Bathypanoploea schellenbergi,Holothuria
Bathypanoploea schellenbergi,Bryozoa
Pseudorchomene coatsi,Detritus
Heterophoxus videns,Polychaeta
Heterophoxus videns,Eucranta mollis
Heterophoxus videns,Eunoe spica
Heterophoxus videns,Laetmonice producta
Heterophoxus videns,Tanaidacea
Heterophoxus videns,Copepoda
Heterophoxus videns,Porifera
Heterophoxus videns,Bacillariophyta
Heterophoxus videns,Foraminifera
Heterophoxus videns,Nematoda
Heterophoxus videns,Crustacea
Haplocheira plumosa,Phytoplankton
Haplocheira plumosa,Detritus
Oradarea edentata,Phytoplankton
Djerboa furcipes,Phytoplankton
Rhachotropis antarctica,Euphausiacea
