consumer	resource	c_bodymass	r_bodymass	r_density	r_biomass	D
Trematomus newnesi	Oradarea bidentata	82,7500	0,0077	44,0360		2D
Harpagifer antarcticus	Orchomenella sp.	7,8000	0,0912	0,3290		2D
Notothenia coriiceps	Orchomenella sp.	848,4726	0,0912	0,3290		2D
Notothenia rossii	Orchomenella sp.	358,0462	0,0912	0,3290		2D
Trematomus bernacchii	Orchomenella sp.	124,5932	0,0912	0,3290		2D
Trematomus newnesi	Orchomenella sp.	82,7500	0,0912	0,3290		2D
Gammaridea	Ostracoda	0,0050	0,0012	24,8170		3D
Gobionotothen gibberifrons	Ostracoda	102,5000	0,0012	24,8170		3D
Hydrozoa	Ostracoda	0,0100	0,0012	24,8170		2D
Hyperiidea	Ostracoda	0,0912	0,0012	24,8170		3D
Lindbergichthys nudifrons	Ostracoda	20,9000	0,0012	24,8170		3D
Mysida	Ostracoda	1,0351	0,0012	24,8170		3D
Notothenia coriiceps	Ostracoda	848,4726	0,0012	24,8170		3D
Notothenia rossii	Ostracoda	358,0462	0,0012	24,8170		2D
Odontaster validus	Ostracoda	11,3246	0,0012	24,8170		2D
Ophionotus victoriae	Ostracoda	5,4182	0,0012	24,8170		3D
Polychaeta	Ostracoda	2,1133	0,0012	24,8170		3D
Polynoidae	Ostracoda	3,1574	0,0012	24,8170		3D
Salpidae	Ostracoda	0,8660	0,0012	24,8170		3D
Trematomus bernacchii	Ostracoda	124,5932	0,0012	24,8170		3D
Trematomus newnesi	Ostracoda	82,7500	0,0012	24,8170		3D
Gammaridea	Palmaria decipiens	0,0050			69,3820	2D
Gondogeneia antarctica	Palmaria decipiens	0,0200			69,3820	2D
Laevilacunaria antarctica	Palmaria decipiens	0,0309			69,3820	2D
Notothenia coriiceps	Palmaria decipiens	848,4726			69,3820	2D
Notothenia rossii	Palmaria decipiens	358,0462			69,3820	2D
Odontaster validus	Palmaria decipiens	11,3246			69,3820	2D
Oradarea bidentata	Palmaria decipiens	0,0077			69,3820	2D
Paradexamine fissicauda	Palmaria decipiens	0,0912			69,3820	2D
Pariphimedia integricauda	Palmaria decipiens	0,0131			69,3820	2D
Prostebbingia gracilis	Palmaria decipiens	0,0077			69,3820	2D
Prostebbingia sp.	Palmaria decipiens	0,0077			69,3820	2D
Notothenia coriiceps	Pantoneura plocamioides 	848,4726			25,8450	2D
Chaenocephalus aceratus	Parachaenichthys charcoti	396,1000	624,6821			2D
Harpagifer antarcticus	Paradexamine fissicauda	7,8000	0,0912	0,1100		2D
Notothenia coriiceps	Paradexamine fissicauda	848,4726	0,0912	0,1100		2D
Trematomus newnesi	Paradexamine fissicauda	82,7500	0,0912	0,1100		2D
Bovallia gigantea	Paradexamine sp.	0,0520	0,0912	20,4060		2D
Notothenia coriiceps	Paradexamine sp.	848,4726	0,0912	20,4060		2D
Sterechinus neumayeri	Paradexamine sp.	48,5810	0,0912	20,4060		2D
Bovallia gigantea	Pariphimedia integricauda	0,0520	0,0131	21,9170		2D
Harpagifer antarcticus	Pariphimedia integricauda	7,8000	0,0131	21,9170		2D
Notothenia coriiceps	Pariphimedia integricauda	848,4726	0,0131	21,9170		2D
Notothenia rossii	Pariphimedia integricauda	358,0462	0,0131	21,9170		2D
Trematomus newnesi	Pariphimedia integricauda	82,7500	0,0131	21,9170		2D
Urticinopsis antarctica	Perknaster fuscus antarticus	48,2360	144,9222			2D
Gondogeneia antarctica	Phaeurus antarcticus 	0,0200			74,1900	2D
Notothenia coriiceps	Phaeurus antarcticus 	848,4726			74,1900	2D
Aequiyoldia eightsii	Phytoplankton	1,7518	0,0000000000000344	4234,7930		2D
Ascidiacea	Phytoplankton	47,6721	0,0000000000000344	4234,7930		2D
Bryozoa	Phytoplankton	6,0195	0,0000000000000344	4234,7930		2D
Cephalopoda	Phytoplankton	151,0000	0,0000000000000344	4234,7930		3D
Charcotia obesa	Phytoplankton	0,1945	0,0000000000000344	4234,7930		2D
Copepoda	Phytoplankton	0,0056	0,0000000000000344	4234,7930		3D
Djerboa furcipes	Phytoplankton	0,5650	0,0000000000000344	4234,7930		2D
Euphausia superba	Phytoplankton	0,5050	0,0000000000000344	4234,7930		3D
Gammaridea	Phytoplankton	0,0050	0,0000000000000344	4234,7930		2D
Gitanopsis squamosa	Phytoplankton	5,6769	0,0000000000000344	4234,7930		2D
Hydrozoa	Phytoplankton	0,0100	0,0000000000000344	4234,7930		2D
Laternula elliptica	Phytoplankton	11,3304	0,0000000000000344	4234,7930		2D
Malacobelemnon daytoni	Phytoplankton	0,0070	0,0000000000000344	4234,7930		2D
Mysida	Phytoplankton	1,0351	0,0000000000000344	4234,7930		3D
Ostracoda	Phytoplankton	0,0012	0,0000000000000344	4234,7930		3D
Paradexamine fissicauda	Phytoplankton	0,0912	0,0000000000000344	4234,7930		2D
Polyplacophora	Phytoplankton	0,1167	0,0000000000000344	4234,7930		2D
Prostebbingia gracilis	Phytoplankton	0,0077	0,0000000000000344	4234,7930		2D
Prostebbingia sp.	Phytoplankton	0,0077	0,0000000000000344	4234,7930		2D
Salpidae	Phytoplankton	0,8660	0,0000000000000344	4234,7930		3D
Stylo_Myca	Phytoplankton	258,1000	0,0000000000000344	4234,7930		3D
Tanaidacea	Phytoplankton	0,1470	0,0000000000000344	4234,7930		2D
Zooplankton	Phytoplankton	0,0012	0,0000000000000344	4234,7930		3D
Notothenia coriiceps	Picconiella plumosa 	848,4726			3,8350	2D
Gondogeneia antarctica	Plocamium cartilagineum	0,0200			92,1680	2D
Laevilacunaria antarctica	Plocamium cartilagineum	0,0309			92,1680	2D
Notothenia coriiceps	Plocamium cartilagineum	848,4726			92,1680	2D
Notothenia rossii	Plocamium cartilagineum	358,0462			92,1680	2D
Prostebbingia gracilis	Plocamium cartilagineum	0,0077			92,1680	2D
Prostebbingia sp.	Plocamium cartilagineum	0,0077			92,1680	2D
Aequiyoldia eightsii	Polychaeta	1,7518	2,1133	818,9540		2D
Aglaophamus trissophyllus	Polychaeta	5,9391	2,1133	818,9540		2D
Barrukia cristata	Polychaeta	7,7665	2,1133	818,9540		2D
Cephalopoda	Polychaeta	151,0000	2,1133	818,9540		3D
Glyptonotus antarcticus	Polychaeta	31,1650	2,1133	818,9540		2D
Gobionotothen gibberifrons	Polychaeta	102,5000	2,1133	818,9540		2D
Harpagifer antarcticus	Polychaeta	7,8000	2,1133	818,9540		2D
Lindbergichthys nudifrons	Polychaeta	20,9000	2,1133	818,9540		2D
Notothenia coriiceps	Polychaeta	848,4726	2,1133	818,9540		2D
Notothenia rossii	Polychaeta	358,0462	2,1133	818,9540		2D
Octopoda	Polychaeta	130,0000	2,1133	818,9540		2D
Odontaster validus	Polychaeta	11,3246	2,1133	818,9540		2D
Ophionotus victoriae	Polychaeta	5,4182	2,1133	818,9540		2D
Parborlasia corrugatus	Polychaeta	73,0867	2,1133	818,9540		2D
Polynoidae	Polychaeta	3,1574	2,1133	818,9540		2D
Priapulida	Polychaeta	0,0089	2,1133	818,9540		2D
Serolis sp.	Polychaeta	0,5629	2,1133	818,9540		2D
Sterechinus neumayeri	Polychaeta	48,5810	2,1133	818,9540		2D
Trematomus newnesi	Polychaeta	82,7500	2,1133	818,9540		2D
Aglaophamus trissophyllus	Polynoidae	5,9391	3,1574	130,3330		2D
Harpagifer antarcticus	Polynoidae	7,8000	3,1574	130,3330		2D
Hydrozoa	Polynoidae	0,0100	3,1574	130,3330		2D
Nemertea	Polynoidae	1,1330	3,1574	130,3330		2D
Ophionotus victoriae	Polynoidae	5,4182	3,1574	130,3330		2D
Trematomus bernacchii	Polynoidae	124,5932	3,1574	130,3330		2D
Gastropoda	Polyplacophora	0,6325	0,1167	0,5140		2D
Harpagifer antarcticus	Polyplacophora	7,8000	0,1167	0,5140		2D
Notothenia coriiceps	Polyplacophora	848,4726	0,1167	0,5140		2D
Octopoda	Polyplacophora	130,0000	0,1167	0,5140		2D
Barrukia cristata	Porifera	7,7665	24,2579	0,5302		2D
Charcotia obesa	Porifera	0,1945	24,2579	0,5302		2D
Diplasterias brucei	Porifera	24,4183	24,2579	0,5302		2D
Doris kerguelenensis	Porifera	44,9900	24,2579	0,5302		2D
Gastropoda	Porifera	0,6325	24,2579	0,5302		2D
Hemiarthrum setulosum	Porifera	0,0565	24,2579	0,5302		2D
Odontaster meridionalis	Porifera	20,3867	24,2579	0,5302		2D
Odontaster validus	Porifera	11,3246	24,2579	0,5302		2D
Ophionotus victoriae	Porifera	5,4182	24,2579	0,5302		2D
Orchomenella sp.	Porifera	0,0912	24,2579	0,5302		2D
Parborlasia corrugatus	Porifera	73,0867	24,2579	0,5302		2D
Perknaster fuscus antarticus	Porifera	144,9222	24,2579	0,5302		2D
Polynoidae	Porifera	3,1574	24,2579	0,5302		2D
Polyplacophora	Porifera	0,1167	24,2579	0,5302		2D
Sterechinus neumayeri	Porifera	48,5810	24,2579	0,5302		2D
Trematomus bernacchii	Porifera	124,5932	24,2579	0,5302		2D
Notothenia coriiceps	Porphyra plocamiestris 	848,4726			23,3090	2D
Cephalopoda	Priapulida	151,0000	0,0089	115,0000		2D
Trematomus bernacchii	Priapulida	124,5932	0,0089	115,0000		2D
Gobionotothen gibberifrons	Probolisca ovata	102,5000	0,0912	6,1030		2D
Harpagifer antarcticus	Probolisca ovata	7,8000	0,0912	6,1030		2D
Notothenia coriiceps	Probolisca ovata	848,4726	0,0912	6,1030		2D
Notothenia rossii	Probolisca ovata	358,0462	0,0912	6,1030		2D
Trematomus newnesi	Probolisca ovata	82,7500	0,0912	6,1030		2D
Bovallia gigantea	Prostebbingia gracilis	0,0520	0,0077	131,0860		2D
Gobionotothen gibberifrons	Prostebbingia gracilis	102,5000	0,0077	131,0860		2D
Harpagifer antarcticus	Prostebbingia gracilis	7,8000	0,0077	131,0860		2D
Lindbergichthys nudifrons	Prostebbingia gracilis	20,9000	0,0077	131,0860		2D
Notothenia coriiceps	Prostebbingia gracilis	848,4726	0,0077	131,0860		2D
Notothenia rossii	Prostebbingia gracilis	358,0462	0,0077	131,0860		2D
Trematomus newnesi	Prostebbingia gracilis	82,7500	0,0077	131,0860		2D
Bovallia gigantea	Prostebbingia sp.	0,0520	0,0077	131,0860		2D
Lindbergichthys nudifrons	Prostebbingia sp.	20,9000	0,0077	131,0860		2D
Notothenia coriiceps	Prostebbingia sp.	848,4726	0,0077	131,0860		2D
Notothenia rossii	Prostebbingia sp.	358,0462	0,0077	131,0860		2D
Ophionotus victoriae	Prostebbingia sp.	5,4182	0,0077	131,0860		2D
Parborlasia corrugatus	Prostebbingia sp.	73,0867	0,0077	131,0860		2D
Sterechinus neumayeri	Prostebbingia sp.	48,5810	0,0077	131,0860		2D
Lindbergichthys nudifrons	Pseudorchomene plebs	20,9000	0,1360			2D
Notothenia coriiceps	Pseudorchomene plebs	848,4726	0,1360			2D
Trematomus bernacchii	Pseudorchomene plebs	124,5932	0,1360			2D
Doris kerguelenensis	Rosella antartica	44,9900	258,1000			2D
Odontaster meridionalis	Rosella antartica	20,3867	258,1000			2D
Odontaster validus	Rosella antartica	11,3246	258,1000			2D
Ophionotus victoriae	Rosella antartica	5,4182	258,1000			2D
Parborlasia corrugatus	Rosella antartica	73,0867	258,1000			2D
Perknaster fuscus antarticus	Rosella antartica	144,9222	258,1000			2D
Sterechinus neumayeri	Rosella antartica	48,5810	258,1000			2D
Doris kerguelenensis	Rossella sp.	44,9900	258,1000			2D
Odontaster meridionalis	Rossella sp.	20,3867	258,1000			2D
Odontaster validus	Rossella sp.	11,3246	258,1000			2D
Ophionotus victoriae	Rossella sp.	5,4182	258,1000			2D
Parborlasia corrugatus	Rossella sp.	73,0867	258,1000			2D
Sterechinus neumayeri	Rossella sp.	48,5810	258,1000			2D
Euphausia superba	Salpidae	0,5050	0,8660	0,2280		3D
Lindbergichthys nudifrons	Salpidae	20,9000	0,8660	0,2280		3D
Notothenia coriiceps	Salpidae	848,4726	0,8660	0,2280		3D
Notothenia rossii	Salpidae	358,0462	0,8660	0,2280		3D
Trematomus newnesi	Salpidae	82,7500	0,8660	0,2280		3D
Gobionotothen gibberifrons	Serolis sp.	102,5000	0,5629	44,3340		2D
Harpagifer antarcticus	Serolis sp.	7,8000	0,5629	44,3340		2D
Lindbergichthys nudifrons	Serolis sp.	20,9000	0,5629	44,3340		2D
Notothenia coriiceps	Serolis sp.	848,4726	0,5629	44,3340		2D
Parborlasia corrugatus	Serolis sp.	73,0867	0,5629	44,3340		2D
Nemertea	Spionidae	1,1330	2,1133	116,0000		2D
Nereididae	Spionidae	2,1133	2,1133	116,0000		2D
Trematomus bernacchii	Spionidae	124,5932	2,1133	116,0000		2D
Octopoda	Sterechinus neumayeri	130,0000	48,5810	1,3580		2D
Odontaster validus	Sterechinus neumayeri	11,3246	48,5810	1,3580		2D
Ophionotus victoriae	Sterechinus neumayeri	5,4182	48,5810	1,3580		2D
Trematomus bernacchii	Sterechinus neumayeri	124,5932	48,5810	1,3580		2D
Urticinopsis antarctica	Sterechinus neumayeri	48,2360	48,5810	1,3580		2D
Doris kerguelenensis	Stylo_Myca	44,9900	527,9500	0,0200		2D
Odontaster meridionalis	Stylo_Myca	20,3867	527,9500	0,0200		2D
Odontaster validus	Stylo_Myca	11,3246	527,9500	0,0200		2D
Ophionotus victoriae	Stylo_Myca	5,4182	527,9500	0,0200		2D
Parborlasia corrugatus	Stylo_Myca	73,0867	527,9500	0,0200		2D
Perknaster aurorae	Stylo_Myca	144,9222	527,9500	0,0200		2D
Perknaster fuscus antarticus	Stylo_Myca	144,9222	527,9500	0,0200		2D
Sterechinus neumayeri	Stylo_Myca	48,5810	527,9500	0,0200		2D
Gastropoda	Tanaidacea	0,6325	0,1470	1,2466		2D
Lindbergichthys nudifrons	Tanaidacea	20,9000	0,1470	1,2466		2D
Notothenia coriiceps	Tanaidacea	848,4726	0,1470	1,2466		2D
Ophionotus victoriae	Tanaidacea	5,4182	0,1470	1,2466		2D
Trematomus bernacchii	Tanaidacea	124,5932	0,1470	1,2466		2D
Nemertea	Terebellidae	1,1330	1,6583	87,2000		2D
Trematomus bernacchii	Terebellidae	124,5932	1,6583	87,2000		2D
Notothenia coriiceps	Trematocarpus antarcticus	848,4726			36,4730	2D
Urticinopsis antarctica	Trematomus bernacchii	48,2360	124,5932			3D
Urticinopsis antarctica	Trematomus newnesi	48,2360	82,7500			3D
Nacella concinna	Ulothrix sp.	5,1582				2D
Notothenia coriiceps	Urospora penicilliformis	848,4726				2D
Ascidiacea	Zooplankton	47,6721	0,0012	49,7810		3D
Cephalopoda	Zooplankton	151,0000	0,0012	49,7810		3D
Copepoda	Zooplankton	0,0056	0,0012	49,7810		3D
Euphausia superba	Zooplankton	0,5050	0,0012	49,7810		3D
Hemiarthrum setulosum	Zooplankton	0,0565	0,0012	49,7810		3D
Hydrozoa	Zooplankton	0,0100	0,0012	49,7810		3D
Hyperiidea	Zooplankton	0,0912	0,0012	49,7810		3D
Malacobelemnon daytoni	Zooplankton	0,0070	0,0012	49,7810		3D
Mysida	Zooplankton	1,0351	0,0012	49,7810		3D
Nereididae	Zooplankton	2,1133	0,0012	49,7810		3D
Ostracoda	Zooplankton	0,0012	0,0012	49,7810		3D
Salpidae	Zooplankton	0,8660	0,0012	49,7810		3D
Sterechinus neumayeri	Zooplankton	48,5810	0,0012	49,7810		3D
Terebellidae	Zooplankton	1,6583	0,0012	49,7810		3D
Trematomus bernacchii	Zooplankton	124,5932	0,0012	49,7810		3D
Zooplankton	Zooplankton	0,0012	0,0012	49,7810		3D
